id,name,amenity,lat,lon
51,Chùa Ông,,10.7740107,106.6997984
52,Cầu Ông Lãnh,,10.7667542,106.6960483
53,Cầu Ông Lãnh,,10.7662479,106.6965412
54,Trường Bùi Thị Xuân,,10.7693473,106.6879224
55,Nguyễn Văn Thủ,,10.7912552,106.7005492
56,Trạm Xe Bus Hoàng Sa,,10.7923606,106.7033984
57,Trạm Xe Bus Cầu Calmette,,10.7651414,106.6998546
58,Trạm Xe Bus Cầu Calmette,,10.76511,106.7000531
59,Hồ Hảo Hớn,,10.7599322,106.6946981
60,Trường Tiểu học Chương Dương,,10.7582536,106.6915957
61,Cầu Nguyễn Văn Cừ,,10.7541194,106.6872369
62,Cửa Hàng Tiện Lợi Shop&Go!,,10.7896718,106.6935132
63,Circle K,,10.7769943,106.7047402
64,Circle K,,10.7694431,106.7000459
65,Đại học Khoa học Xã hội Nhân văn,,10.7857614,106.7025976
66,Trạm Xe Bus Đại Học Khoa Học Xã Hội Nhân Văn,,10.7857132,106.7024048
67,Tôn Thất Tùng,,10.768731,106.6903772
68,Công trường Mê Linh,,10.776917,106.7058354
69,Công trường Mê Linh,,10.7760722,106.7056997
70,Trường Trung học cơ sở Văn Lang,school,10.7929112,106.6878489
71,Circle K,,10.7706331,106.6878337
72,FamilyMart,,10.7671517,106.6907412
73,Circle K,,10.7668186,106.6910328
74,Ministop,,10.7674283,106.6848633
75,Siêu Thị C&C,,10.7666709,106.6877461
76,Street Food Market,,10.7736896,106.6975615
77,FamilyMart,,10.7862265,106.7013849
78,FamilyMart,,10.7678389,106.6937195
79,Shop&Go!,,10.7791798,106.7002789
80,FamilyMart,,10.7736195,106.6969272
81,Bệnh Viện Mắt Sài Gòn,hospital,10.7713711,106.6909391
82,Bãi Đậu Xe Nguyễn Văn Chiêm,parking,10.7817942,106.6988031
83,FamilyMart,,10.768461,106.68707
84,Circle K,,10.7725534,106.6991115
85,Circle K,,10.7668906,106.6929873
86,Unknown,,10.7699236,106.6925181
87,Cửa Hàng Tiện Lợi B's Mart,,10.7668069,106.6962928
88,Tôn Thất Tùng,,10.7676758,106.6908667
89,Circle K,,10.7697839,106.6924932
90,Trung Tâm Thương Mại Sense Market,,10.7692667,106.6933366
91,Trạm Xe Bus Cityview Shuttle,,10.7744984,106.7047024
92,Thi's Market,,10.7717991,106.7041195
93,Siêu Thị Tiện Lợi US,,10.7618357,106.6901287
94,Tổng Công ty Samco,,10.7596994,106.6881941
95,Trung Tâm Nhật Ngữ Yaruki,school,10.7881755,106.7026429
96,Circle K,,10.771409,106.6970223
97,FamilyMart,,10.7894045,106.702524
98,FamilyMart,,10.7890379,106.7002426
99,Circle K,,10.7732317,106.7033243
100,FamilyMart,,10.7635833,106.693177
101,Sở Tài nguyên và Môi trường,,10.7771741,106.7003573
102,7-Eleven,,10.7775864,106.6987866
103,Unknown,restaurant,10.762326,106.6927709
104,7-Eleven,,10.7774369,106.6986668
105,FamilyMart,,10.7796987,106.700693
106,FamilyMart,,10.7711968,106.6897472
107,Unknown,school,10.7924,106.6935816
108,Sạp Khô Hải Phựợng,,10.7642836,106.6978262
109,Circle K,,10.7735194,106.7021249
110,Ministop,,10.788655,106.6977442
111,Bến Bạch Đằng,,10.774068,106.7066444
112,FamilyMart,,10.7851878,106.6991453
113,Hồ Hào Hớn,,10.7624011,106.6905879
114,Ký túc xá Trần Hưng Đạo,,10.7674317,106.6947718
115,Rạp phim Trần Hưng Đạo,,10.7658046,106.6933395
116,WinMart+,,10.7692098,106.6917558
117,Unknown,,10.7722701,106.6961872
118,Trần Đình Xu,,10.763058,106.6882141
