id,name,amenity,lat,lon,road_node
492,Trường Trung học phổ thông Ernst Thälmann,school,10.7689306115635,106.6955099531801,6789351756
493,Unknown,parking,10.767047927837387,106.69783507249528,411926436
494,Trường Trung học cơ sở Minh Đức,school,10.766343805147946,106.69573848345397,2032267376
495,Trường Trung học cơ sở Đồng Khởi,school,10.76581058247817,106.69715017454502,411923507
496,Đại học Văn Lang,university,10.762818400000002,106.69328235,411926209
497,Trường Tiểu học Lương Thế Vinh,school,10.76282048035042,106.69415443766958,411926179
498,Trường Trung học phổ thông Lương Thế Vinh,school,10.763304939542952,106.69379717860944,411926209
499,Khu đậu xe Samco,parking,10.762468415186422,106.69531752740188,411926179
500,Trường Chính sách công và Phát triển nông thôn,college,10.785654860396576,106.70164023962236,13514030147
501,Trường Trung học cơ sở Trần Văn Ơn,school,10.788323723959149,106.69778128759756,411925988
502,Trường Trung học phổ thông Năng Khiếu Thể Dục Thể Thao,school,10.791068552443024,106.69861889902177,7931552059
503,Unknown,,10.76413988114185,106.6987825000435,2025938531
504,Công viên Bến Bạch Đằng,,10.77866485092954,106.70763094736992,9622589906
505,Trường Đại học Mở Thành phố Hồ Chí Minh,university,10.761096098688505,106.69223775596149,411922587
506,Unknown,parking,10.768782195722396,106.68633082904124,4605034952
507,Bệnh viện Từ Dũ (khu M),hospital,10.767878183302654,106.68473858753832,12584708463
508,Unknown,parking,10.775803529140047,106.70700914276762,411918789
509,Unknown,parking,10.774610137122798,106.70633927864073,2036083610
510,Unknown,parking,10.780103402839266,106.69567978029364,411918866
511,Unknown,parking,10.7805752,106.6961322,411918866
512,Đại học Kinh tế Thành phố Hồ Chí Minh - cơ sở D,university,10.791862272578584,106.68841442657197,10734733576
513,Unknown,parking,10.790320996744011,106.704905066178,2403044879
514,Unknown,parking,10.790419329656816,106.70307924911393,2297783345
515,Unknown,,10.790525402212491,106.70296734773196,411923565
516,Unknown,parking,10.779926792983392,106.70034941453932,411926624
517,Unknown,parking,10.772736651774997,106.70137716088018,411926455
518,Unknown,,10.791440585073172,106.70567734796516,4673706004
519,Unknown,parking,10.770612717181002,106.69545693203868,5444117925
520,Unknown,,10.78572530925377,106.70958824294851,6857806167
521,Unknown,parking,10.76936542979131,106.69394600568428,3506700347
522,Trường Tiểu học Trần Khánh Dư,school,10.794831586750297,106.69170223712143,864423474
523,Trường Tiểu học Đuốc Sống,school,10.790385585899084,106.69190174623937,411926022
524,Trường Tiểu học Nguyễn Huệ,school,10.770864539369157,106.69098322224002,8345090612
525,Trường Tiểu học Trần Quang Khải (cơ sở 1),school,10.793243300736602,106.69335431828044,411921451
526,Trường Tiểu học Trần Quang Khải (cơ sở 2),school,10.789622602882798,106.69341304263804,411925967
527,Trường Tiểu học Phan Văn Trị,school,10.76694313770769,106.68439954637188,12584708455
528,Trường Tiểu học Chương Dương,school,10.758560475206176,106.69115756290168,411920988
529,Trường Tiểu học Lê Ngọc Hân,school,10.772792241446773,106.68948534092804,12503977173
530,Trường Trung học cơ sở Chu Văn An,school,10.765075725058782,106.68984828709893,4603243122
